open,high,low,close,totalvolume,timestamp
178.07,178.09,178.04,178.05,22123,2025-08-22T19:31:00Z
178.07,178.09,178.04,178.06,23183,2025-08-22T19:31:00Z
178.07,178.09,178.04,178.05,23283,2025-08-22T19:31:00Z
178.07,178.09,178.02,178.03,30556,2025-08-22T19:31:00Z
178.07,178.09,178.02,178.03,34003,2025-08-22T19:31:00Z
178.07,178.09,178.02,178.03,35473,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.02,37535,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.02,38235,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.03,43477,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.03,45614,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.03,46315,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.03,47925,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.02,48625,2025-08-22T19:31:00Z
178.07,178.09,178.01,178.02,49150,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.01,51981,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.03,64258,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.04,66798,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.04,67344,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.05,69481,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.04,72765,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.07,77838,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.06,80433,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.08,83710,2025-08-22T19:31:00Z
178.07,178.09,178.0,178.09,90190,2025-08-22T19:31:00Z
178.07,178.1,178.0,178.09,111955,2025-08-22T19:31:00Z
178.07,178.1,178.0,178.09,115539,2025-08-22T19:31:00Z
178.07,178.11,178.0,178.11,130694,2025-08-22T19:31:00Z
178.07,178.11,178.0,178.11,131494,2025-08-22T19:31:00Z
178.07,178.11,178.0,178.11,134516,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.12,140780,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.11,144881,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.11,146981,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.11,147181,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.1,158508,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.12,176320,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.12,177640,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.11,179240,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.11,180590,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.09,182790,2025-08-22T19:31:00Z
